"Tissue","Project","Sample","Num_cells","cohort"
"Bladder","GSE201333","TSP1_Bladder",4679,"Tabula"
"Bladder","GSE201333","TSP2_Bladder",5709,"Tabula"
"Bladder","GSE201333","TSP14_Bladder",815,"Tabula"
"Bowel","GSE201333","TSP1_Bladder",4679,"Tabula"
"Bowel","GSE201333","TSP14_Bladder",815,"Tabula"
"Bowel","GSE201333","TSP2_Bladder",5709,"Tabula"
"Breast","GSE201333","TSP4_Mammary",2815,"Tabula"
"Head_and_Neck","GSE201333","TSP14_Tongue",494,"Tabula"
"Head_and_Neck","GSE201333","TSP7_Tongue",1609,"Tabula"
"Kidney","GSE201333","TSP2_Kidney",1215,"Tabula"
"Liver","GSE201333","TSP14_Liver",272,"Tabula"
"Liver","GSE201333","TSP6_Liver",2371,"Tabula"
"Lung","GSE201333","TSP1_Lung",10332,"Tabula"
"Lung","GSE201333","TSP14_Lung",381,"Tabula"
"Lung","GSE201333","TSP2_Lung",7045,"Tabula"
"Pancreas","GSE201333","TSP1_Pancreas",284,"Tabula"
"Pancreas","GSE201333","TSP9_Pancreas",2458,"Tabula"
"Prostate","GSE201333","TSP14_Prostate",1010,"Tabula"
"Prostate","GSE201333","TSP8_Prostate",1913,"Tabula"
"Skin","GSE201333","TSP10_Skin",3170,"Tabula"
"Skin","GSE201333","TSP14_Skin",1372,"Tabula"
"Uterus","GSE201333","TSP4_Uterus",970,"Tabula"
"Bowel","GSE134355","Donor24_AdultAscendingColon",1300,"HCL"
"Bowel","GSE134355","Donor24_AdultEpityphlon",3580,"HCL"
"Bowel","GSE134355","Donor24_AdultRectum",1465,"HCL"
"Bowel","GSE134355","Donor24_AdultSigmoidColon",709,"HCL"
"Bowel","GSE134355","Donor25_AdultDuodenum",955,"HCL"
"Bowel","GSE134355","Donor34_AdultIleum",698,"HCL"
"Bowel","GSE134355","Donor35_AdultJeJunum",1322,"HCL"
"Bowel","GSE134355","Donor49_AdultTransverseColon",874,"HCL"
"Bowel","GSE134355","Donor55_AdultTransverseColon",3587,"HCL"
"Esophagus","GSE134355","Donor32_AdultEsophagus",1925,"HCL"
"Kidney","GSE134355","Donor34_AdultKidney",1305,"HCL"
"Kidney","GSE134355","Donor36_AdultKidney",908,"HCL"
"Kidney","GSE134355","Donor37_AdultKidney",288,"HCL"
"Liver","GSE134355","Donor38_AdultLiver",991,"HCL"
"Liver","GSE134355","Donor39_AdultLiver",2048,"HCL"
"Liver","GSE134355","Donor40_AdultLiver",3240,"HCL"
"Lung","GSE134355","Donor38_AdultLung",1419,"HCL"
"Lung","GSE134355","Donor41_AdultLung",1499,"HCL"
"Lung","GSE134355","Donor42_AdultLung",7029,"HCL"
"Pancreas","GSE134355","Donor44_AdultPancreas",155,"HCL"
"Pleura","GSE134355","Donor23_AdultPleura",1882,"HCL"
"Prostate","GSE134355","Donor31_AdultProstate",144,"HCL"
"Stomach","GSE134355","Donor31_AdultStomach",165,"HCL"
"Stomach","GSE134355","Donor50_AdultStomach",547,"HCL"
"Stomach","GSE134355","Donor51_AdultStomach",464,"HCL"
"Thyroid","GSE134355","Donor53_AdultThyroid",278,"HCL"
"Thyroid","GSE134355","Donor54_AdultThyroid",4046,"HCL"
"Uterus","GSE134355","Donor30_AdultCervix",174,"HCL"
"Uterus","GSE134355","Donor30_AdultUterus",114,"HCL"
