"Tissue","Project","Sample","Num_cells","cohort"
"Bladder","GSE201333","TSP1_Bladder",1917,"Tabula"
"Bladder","GSE201333","TSP2_Bladder",956,"Tabula"
"Bladder","GSE201333","TSP14_Bladder",1278,"Tabula"
"Blood","GSE201333","TSP1_Blood",3939,"Tabula"
"Blood","GSE201333","TSP10_Blood",5007,"Tabula"
"Blood","GSE201333","TSP14_Blood",9962,"Tabula"
"Blood","GSE201333","TSP14_Vasculature",1733,"Tabula"
"Blood","GSE201333","TSP2_Blood",11402,"Tabula"
"Blood","GSE201333","TSP2_Vasculature",2397,"Tabula"
"Blood","GSE201333","TSP7_Blood",17831,"Tabula"
"Blood","GSE201333","TSP8_Blood",1974,"Tabula"
"Bowel","GSE201333","TSP1_Bladder",1917,"Tabula"
"Bowel","GSE201333","TSP14_Bladder",1278,"Tabula"
"Bowel","GSE201333","TSP2_Bladder",956,"Tabula"
"Breast","GSE201333","TSP4_Mammary",5854,"Tabula"
"Head_and_Neck","GSE201333","TSP14_Tongue",4410,"Tabula"
"Head_and_Neck","GSE201333","TSP4_Tongue",169,"Tabula"
"Head_and_Neck","GSE201333","TSP7_Tongue",7483,"Tabula"
"Kidney","GSE201333","TSP2_Kidney",8331,"Tabula"
"Liver","GSE201333","TSP14_Liver",1522,"Tabula"
"Liver","GSE201333","TSP6_Liver",78,"Tabula"
"Lung","GSE201333","TSP1_Lung",2012,"Tabula"
"Lung","GSE201333","TSP14_Lung",3872,"Tabula"
"Lung","GSE201333","TSP2_Lung",8097,"Tabula"
"Pancreas","GSE201333","TSP1_Pancreas",6210,"Tabula"
"Pancreas","GSE201333","TSP9_Pancreas",2005,"Tabula"
"Prostate","GSE201333","TSP14_Prostate",2131,"Tabula"
"Prostate","GSE201333","TSP8_Prostate",10185,"Tabula"
"Skin","GSE201333","TSP10_Skin",101,"Tabula"
"Uterus","GSE201333","TSP4_Uterus",293,"Tabula"
"Blood","GSE134355","Donor45_AdultPeripheralBlood",2719,"HCL"
"Blood","GSE134355","Donor46_AdultPeripheralBlood",5295,"HCL"
"Blood","GSE134355","Donor47_AdultPeripheralBlood",2156,"HCL"
"Blood","GSE134355","Donor48_AdultPeripheralBlood",7160,"HCL"
"Bowel","GSE134355","Donor24_AdultAscendingColon",98,"HCL"
"Bowel","GSE134355","Donor24_AdultEpityphlon",192,"HCL"
